TimeStamp,Longitude,Latitude
" 00:00:00,200",73.00135763743417,19.149798647687
" 00:00:00,300",73.00133032234425,19.15009562139936
" 00:00:00,400",73.00133054701594,19.15014289798843
" 00:00:00,500",73.0013307073652,19.15017665911837
" 00:00:00,600",73.00132376677641,19.15021711710226
" 00:00:00,700",73.00132386340451,19.15023736602781
" 00:00:00,800",73.00132412105252,19.15029135274155
" 00:00:00,900",73.00132424972972,19.15031833940977
" 00:00:01,000",73.00132453953252,19.15037904396667
" 00:00:01,100",73.00132463611628,19.15039927389854
" 00:00:01,200",73.00132489350985,19.15045320983492
" 00:00:01,300",73.0013251185583,19.1505003897055
" 00:00:01,400",73.00132521503909,19.15052060542047
" 00:00:01,500",73.00132531258238,19.15054752112133
" 00:00:01,600",73.00134662731992,19.15057436498573
" 00:00:01,700",73.00135369040767,19.15060113096392
" 00:00:01,800",73.00136075333278,19.15062789889061
" 00:00:01,900",73.00138914669547,19.15067482606198
" 00:00:02,000",73.00141047532118,19.1506882837499
" 00:00:02,100",73.00145299060768,19.15074854024028
" 00:00:02,200",73.00148134978508,19.15078202864481
" 00:00:02,300",73.00150261594817,19.15080881586004
" 00:00:02,400",73.00153097587089,19.15084230563017
" 00:00:02,500",73.00155222901977,19.15087577920965
" 00:00:02,600",73.00159477741093,19.15092267234941
" 00:00:02,700",73.00161604529858,19.15094946214278
" 00:00:02,800",73.00164442004962,19.15097626778298
" 00:00:02,900",73.00165858193114,19.1510030431116
" 00:00:03,000",73.0016940259965,19.15104992424566
" 00:00:03,100",73.00171529562876,19.15107671607293
" 00:00:03,200",73.00172944741077,19.15111018236003
" 00:00:03,300",73.00175065865859,19.15117041854989
" 00:00:03,400",73.0017506112769,19.15119717498969
" 00:00:03,500",73.00175054026879,19.15123731347754
" 00:00:03,600",73.0017504928565,19.15126407509037
" 00:00:03,700",73.00175040982239,19.15131091289569
" 00:00:03,800",73.001750374054,19.15133098832886
" 00:00:03,900",73.00174318248391,19.151377824047
" 00:00:04,000",73.00173601380622,19.15141127958551
" 00:00:04,100",73.00172885621791,19.15143804446359
" 00:00:04,200",73.00171457575738,19.15147149707222
" 00:00:04,300",73.00170026855707,19.15151834618033
" 00:00:04,400",73.00167173518889,19.15156518489221
" 00:00:04,500",73.00165744715019,19.15159865469154
" 00:00:04,600",73.00164315691652,19.15163212939938
" 00:00:04,700",73.00162882566767,19.15168570795802
" 00:00:04,800",73.00161453110223,19.15171919413776
" 00:00:04,900",73.00160736310758,19.15174599081983
" 00:00:05,000",73.00160018122544,19.15177949198963
" 00:00:05,100",73.00157159485504,19.1518397902726
" 00:00:05,200",73.00156440967349,19.15187330309565
" 00:00:05,300",73.00155722334569,19.15190681979285
" 00:00:05,400",73.0015429670886,19.15194035233123
" 00:00:05,500",73.00153584849896,19.15196718908717
" 00:00:05,600",73.00152161097348,19.152020864096
" 00:00:05,700",73.00150737287207,19.15205440893859
" 00:00:05,800",73.00150737271979,19.15206783057776
" 00:00:05,900",73.00149313423755,19.15210137669673
" 00:00:06,000",73.0014788945762,19.15218861300788
" 00:00:06,100",73.00144329358449,19.15231611541438
" 00:00:06,200",73.00138632370391,19.15257115687138
" 00:00:06,300",73.00137915707727,19.15259800978113
" 00:00:06,400",73.00135100066287,19.15277918593166
" 00:00:06,500",73.0012877065851,19.15320169784955
" 00:00:06,600",73.00124342444988,19.15355830847235
" 00:00:06,700",73.00124274663671,19.15369308965585
" 00:00:06,800",73.00124257705451,19.1537268014762
" 00:00:06,900",73.00124240753345,19.15376051981366
" 00:00:07,000",73.00124217001013,19.15380773647745
" 00:00:07,100",73.00124193245887,19.15385496599228
" 00:00:07,200",73.00124152511798,19.15393596109965
" 00:00:07,300",73.00124130441566,19.15398321080134
" 00:00:07,400",73.0012412024176,19.15402364136785
" 00:00:07,500",73.00124101529335,19.15409777652967
" 00:00:07,600",73.00124091321662,19.1541382204156
" 00:00:07,700",73.00124076005785,19.15419889548034
" 00:00:07,800",73.00124069200682,19.15422586553923
" 00:00:07,900",73.0012406238862,19.15425283783802
" 00:00:08,000",73.00124769573841,19.15429324319264
" 00:00:08,100",73.00294945875692,19.15500207986926
" 00:00:08,200",73.00304895959138,19.15499464007625
" 00:00:08,300",73.00310579188489,19.15498751396087
" 00:00:08,400",73.00316260568637,19.154973678951
" 00:00:08,500",73.00324069416318,19.15496640517463
" 00:00:08,600",73.00351727140013,19.15492418643615
" 00:00:08,700",73.00368725427437,19.15489617728149
" 00:00:08,800",73.00374399702582,19.15488945637977
" 00:00:08,900",73.00380790221232,19.15486283686863
" 00:00:09,000",73.00387886048864,19.15485618126201
" 00:00:09,100",73.0040138292821,19.15479626996759
" 00:00:09,200",73.00409920972069,19.15472301733992
" 00:00:09,300",73.00412060972148,19.15468971040233
" 00:00:09,400",73.00414912982097,19.15463631547695
" 00:00:09,500",73.00417040685504,19.15458934466348
" 00:00:09,600",73.00417042926623,19.15457597459308
" 00:00:09,700",73.00420613142519,19.15434831565304
" 00:00:09,800",73.00420631804859,19.15424128243502
" 00:00:09,900",73.00420649270956,19.15414090894366
